,loan_id, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
751,752,5, Not Graduate, No,6800000,20000000,4,459,14500000,3000000,25000000,4900000, Rejected
754,755,1, Not Graduate, Yes,7600000,26000000,6,384,2600000,1200000,20000000,7900000, Rejected
756,757,1, Not Graduate, Yes,4700000,18700000,20,445,2100000,0,11100000,4000000, Rejected
757,758,0, Graduate, No,1400000,5500000,6,393,500000,1500000,5400000,1800000, Rejected
758,759,3, Graduate, Yes,9400000,24600000,10,414,8800000,13400000,23800000,5600000, Rejected
759,760,2, Graduate, No,9700000,19900000,16,395,2800000,13700000,37000000,10800000, Rejected
762,763,5, Not Graduate, Yes,5600000,14500000,10,457,6900000,7800000,20600000,4600000, Rejected
764,765,3, Graduate, No,3500000,10300000,16,324,2400000,900000,12600000,2400000, Rejected
771,772,2, Not Graduate, No,8700000,22700000,4,365,8200000,14800000,30200000,7200000, Rejected
773,774,5, Graduate, Yes,9000000,20000000,2,440,17100000,1000000,28500000,7600000, Rejected
777,778,2, Graduate, No,4300000,9400000,2,485,11000000,8100000,11000000,2200000, Rejected
789,790,2, Graduate, No,3100000,8700000,18,544,5300000,1100000,12200000,1500000, Rejected
791,792,4, Graduate, Yes,9300000,35500000,6,547,2800000,17800000,27000000,13900000, Rejected
792,793,4, Graduate, No,6300000,13400000,2,504,10500000,10900000,14500000,9400000, Rejected
793,794,2, Not Graduate, No,5900000,20800000,14,530,7100000,5800000,13100000,8800000, Rejected
795,796,4, Not Graduate, No,6100000,22400000,18,351,11800000,5000000,24400000,4800000, Rejected
796,797,4, Graduate, Yes,5900000,19700000,10,431,3300000,9200000,22700000,5300000, Rejected
797,798,1, Not Graduate, Yes,4600000,18400000,10,403,200000,8800000,17300000,2900000, Rejected
799,800,3, Not Graduate, Yes,5100000,10400000,18,399,8000000,4300000,20100000,4600000, Rejected
801,802,2, Graduate, No,4100000,12800000,16,344,10300000,7000000,15800000,4100000, Rejected
803,804,4, Not Graduate, Yes,8200000,26900000,20,301,23800000,13600000,31000000,9900000, Rejected
808,809,3, Not Graduate, No,5800000,12800000,20,335,4400000,3000000,15300000,8000000, Rejected
813,814,5, Not Graduate, Yes,9700000,36400000,16,544,3500000,15000000,31300000,5200000, Rejected
815,816,3, Graduate, No,6500000,16800000,10,388,9500000,800000,14900000,7200000, Rejected
822,823,2, Graduate, Yes,8300000,19500000,4,415,2300000,9400000,21700000,8600000, Rejected
828,829,4, Not Graduate, No,6300000,21900000,10,538,9600000,5400000,19300000,7800000, Rejected
836,837,1, Graduate, Yes,600000,2000000,10,326,400000,1000000,2400000,700000, Rejected
837,838,0, Not Graduate, No,4100000,10800000,16,399,5900000,7600000,12700000,5300000, Rejected
840,841,4, Graduate, Yes,3500000,8900000,4,478,4000000,3900000,11300000,3800000, Rejected
843,844,0, Not Graduate, No,1900000,6500000,10,523,2400000,1100000,6200000,1100000, Rejected
844,845,2, Graduate, Yes,6500000,20900000,14,327,8200000,100000,22800000,4700000, Rejected
847,848,2, Graduate, No,7700000,15400000,18,524,12900000,5100000,21000000,6600000, Rejected
848,849,1, Graduate, No,2600000,6600000,6,506,2300000,1900000,9600000,2100000, Rejected
849,850,1, Graduate, No,9200000,18800000,2,351,22400000,2200000,31500000,13000000, Rejected
852,853,1, Graduate, No,5700000,12400000,14,396,5400000,7500000,17600000,5600000, Rejected
853,854,3, Not Graduate, No,300000,800000,2,458,500000,0,1100000,200000, Rejected
854,855,3, Graduate, Yes,1700000,3400000,6,488,100000,500000,4500000,1600000, Rejected
855,856,4, Graduate, No,7000000,18900000,6,475,1300000,6100000,14700000,5200000, Rejected
856,857,1, Not Graduate, No,2200000,7000000,18,417,2000000,3900000,6500000,1900000, Rejected
858,859,1, Not Graduate, Yes,2400000,6200000,12,337,3400000,2100000,9400000,2300000, Rejected
859,860,0, Not Graduate, Yes,600000,1800000,12,511,300000,200000,2200000,400000, Rejected
865,866,5, Not Graduate, Yes,6400000,20300000,16,348,10000000,10900000,20400000,6900000, Rejected
867,868,3, Not Graduate, No,5100000,14500000,12,306,700000,8800000,11600000,2900000, Rejected
868,869,2, Graduate, Yes,6300000,19500000,18,428,15900000,7200000,19900000,6500000, Rejected
875,876,1, Not Graduate, Yes,1700000,4500000,20,480,200000,600000,5400000,1900000, Rejected
876,877,4, Graduate, No,4300000,11500000,20,337,11100000,6000000,17000000,5200000, Rejected
878,879,4, Not Graduate, No,4400000,17000000,18,302,1000000,2100000,14000000,5700000, Rejected
879,880,1, Not Graduate, Yes,3900000,7800000,14,349,11200000,500000,11800000,3600000, Rejected
880,881,0, Graduate, No,1100000,3300000,10,482,2800000,300000,2900000,1600000, Rejected
881,882,2, Graduate, No,2500000,8200000,10,429,1500000,4100000,5900000,2200000, Rejected
882,883,4, Graduate, No,500000,1300000,8,471,500000,300000,1500000,700000, Rejected
889,890,2, Not Graduate, Yes,4800000,16500000,10,350,2000000,6500000,11400000,2900000, Rejected
890,891,4, Not Graduate, No,4900000,10700000,20,321,1200000,400000,11100000,6500000, Rejected
891,892,3, Graduate, Yes,4800000,10100000,4,368,9100000,5100000,16500000,3500000, Rejected
892,893,4, Graduate, No,9300000,24900000,14,455,27600000,4700000,35100000,13900000, Rejected
895,896,0, Graduate, No,9400000,27900000,6,456,21400000,18500000,35600000,7800000, Rejected
898,899,0, Graduate, Yes,2500000,5800000,18,494,5100000,4400000,8500000,2300000, Rejected
901,902,5, Graduate, No,3100000,9400000,10,414,200000,5300000,8000000,2800000, Rejected
905,906,5, Not Graduate, No,9700000,37000000,14,459,28700000,17900000,22800000,5600000, Rejected
907,908,5, Graduate, No,3400000,13100000,20,527,900000,4500000,8600000,4000000, Rejected
908,909,4, Not Graduate, No,3500000,10200000,12,333,7600000,6400000,8100000,3400000, Rejected
909,910,3, Not Graduate, No,3200000,10000000,18,532,3300000,100000,9800000,2100000, Rejected
911,912,0, Graduate, Yes,1300000,4800000,4,835,500000,100000,3300000,800000, Rejected
917,918,1, Not Graduate, Yes,1500000,5900000,16,400,4200000,2400000,4800000,1500000, Rejected
918,919,3, Graduate, No,6300000,18300000,18,543,1800000,9400000,17700000,3500000, Rejected
921,922,3, Not Graduate, Yes,2100000,6100000,8,346,5500000,600000,4500000,2900000, Rejected
924,925,0, Not Graduate, Yes,8600000,23600000,2,361,25800000,5300000,24700000,7500000, Rejected
925,926,5, Graduate, No,3000000,8000000,6,333,3200000,400000,8200000,2200000, Rejected
926,927,3, Not Graduate, Yes,5200000,16300000,8,335,9500000,7000000,13600000,7300000, Rejected
928,929,1, Not Graduate, Yes,4000000,15600000,12,436,10400000,2800000,14800000,3200000, Rejected
929,930,1, Not Graduate, No,2400000,5200000,2,371,6100000,3100000,8500000,1400000, Rejected
930,931,2, Not Graduate, Yes,5500000,18400000,10,515,6800000,4400000,18500000,4100000, Rejected
936,937,1, Graduate, No,4700000,11700000,6,308,11800000,1100000,15100000,3700000, Rejected
938,939,4, Not Graduate, Yes,1400000,5100000,14,312,4000000,1000000,3200000,1400000, Rejected
940,941,5, Graduate, Yes,7600000,20000000,10,522,21500000,1400000,20400000,4300000, Rejected
942,943,4, Not Graduate, Yes,1400000,4300000,16,447,3600000,1200000,5300000,1000000, Rejected
945,946,5, Not Graduate, Yes,7600000,18700000,14,509,8500000,8500000,22200000,3700000, Rejected
947,948,1, Not Graduate, No,2300000,6600000,18,513,4600000,900000,9000000,1600000, Rejected
948,949,2, Not Graduate, No,8100000,18500000,6,372,19100000,10200000,31000000,7900000, Rejected
949,950,2, Graduate, Yes,300000,700000,4,411,600000,0,1200000,100000, Rejected
950,951,4, Graduate, No,4700000,10800000,20,495,11300000,6800000,17000000,4500000, Rejected
956,957,0, Not Graduate, Yes,9100000,22000000,12,387,25300000,15600000,31700000,7000000, Rejected
958,959,0, Not Graduate, Yes,2200000,8000000,14,335,2800000,3700000,6900000,2900000, Rejected
960,961,1, Graduate, Yes,6500000,13900000,8,369,9600000,300000,17200000,8300000, Rejected
966,967,1, Graduate, No,4400000,10700000,18,324,2200000,3300000,12700000,5400000, Rejected
969,970,2, Not Graduate, Yes,6000000,13000000,12,462,2100000,2500000,14600000,5600000, Rejected
975,976,0, Graduate, No,8000000,23700000,10,305,22200000,11600000,17200000,12000000, Rejected
976,977,4, Not Graduate, No,8200000,20700000,10,546,10800000,7000000,25000000,10600000, Rejected
978,979,2, Not Graduate, No,2400000,8800000,18,421,3200000,1500000,6700000,1400000, Rejected
981,982,0, Not Graduate, Yes,2600000,5400000,2,377,100000,4900000,6100000,2700000, Rejected
982,983,3, Not Graduate, No,6900000,15600000,20,310,4500000,3600000,20400000,4800000, Rejected
985,986,1, Not Graduate, Yes,4300000,14100000,12,525,2100000,1100000,14100000,5500000, Rejected
986,987,5, Not Graduate, No,700000,2400000,20,330,1300000,700000,2500000,500000, Rejected
996,997,0, Graduate, Yes,500000,1100000,18,479,1500000,500000,1800000,600000, Rejected
1002,1003,5, Not Graduate, No,9600000,20700000,14,442,25800000,9800000,31800000,8200000, Rejected
1003,1004,3, Graduate, Yes,3300000,9800000,6,360,4500000,600000,11000000,4400000, Rejected
1004,1005,3, Not Graduate, No,2800000,5900000,4,461,1600000,400000,8900000,2800000, Rejected
1010,1011,0, Graduate, No,5600000,13400000,2,460,3400000,4100000,14800000,4100000, Rejected
1011,1012,1, Not Graduate, No,1400000,3300000,8,306,3200000,800000,2700000,800000, Rejected
1012,1013,5, Graduate, Yes,500000,1400000,4,471,500000,100000,1300000,300000, Rejected
1014,1015,3, Graduate, No,9800000,25600000,10,404,24400000,6700000,37000000,11500000, Rejected
1017,1018,1, Not Graduate, Yes,2500000,6700000,2,502,3400000,2600000,9400000,1400000, Rejected
1020,1021,0, Not Graduate, No,5100000,13600000,18,351,1700000,3700000,14400000,7600000, Rejected
1021,1022,2, Not Graduate, Yes,7600000,23600000,6,358,20200000,2900000,22100000,10900000, Rejected
1028,1029,0, Graduate, No,5800000,21100000,6,414,7900000,2400000,16000000,5600000, Rejected
1030,1031,3, Graduate, Yes,7900000,26600000,12,409,17100000,1400000,22500000,8700000, Rejected
1032,1033,4, Graduate, Yes,700000,2600000,18,478,600000,600000,2100000,300000, Rejected
1037,1038,3, Graduate, Yes,7800000,27700000,6,430,2000000,8000000,26100000,5300000, Rejected
1038,1039,4, Not Graduate, No,2700000,7000000,4,351,1100000,2300000,8300000,2700000, Rejected
1039,1040,5, Not Graduate, No,600000,2300000,4,347,0,0,1900000,200000, Rejected
1046,1047,2, Not Graduate, Yes,2500000,6900000,12,325,5800000,1600000,6400000,3600000, Rejected
1050,1051,0, Not Graduate, Yes,2500000,8800000,14,389,7300000,1400000,8500000,3600000, Rejected
1052,1053,3, Graduate, No,3100000,8500000,12,493,8700000,5100000,12000000,2000000, Rejected
1054,1055,5, Not Graduate, No,6500000,21600000,10,419,1600000,10900000,22300000,6600000, Rejected
1055,1056,2, Not Graduate, Yes,5900000,15800000,2,444,14300000,4300000,20300000,5500000, Rejected
1056,1057,5, Not Graduate, Yes,6500000,15800000,16,301,9200000,9900000,17400000,7100000, Rejected
1057,1058,0, Graduate, Yes,3800000,11200000,20,479,1100000,6400000,12000000,5400000, Rejected
1058,1059,3, Not Graduate, Yes,3000000,11400000,10,424,1800000,4200000,10900000,1500000, Rejected
1059,1060,0, Graduate, No,4300000,16900000,18,469,200000,5800000,12000000,6200000, Rejected
1061,1062,3, Not Graduate, No,300000,500000,2,477,700000,200000,800000,400000, Rejected
1062,1063,3, Not Graduate, Yes,600000,1400000,16,509,600000,300000,2400000,900000, Rejected
1065,1066,2, Not Graduate, Yes,1800000,3600000,4,343,3400000,1100000,6200000,1500000, Rejected
1070,1071,2, Not Graduate, Yes,2800000,10100000,16,531,2900000,2900000,7200000,4100000, Rejected
1071,1072,0, Graduate, Yes,3600000,8600000,6,529,3500000,3300000,11300000,5200000, Rejected
1072,1073,1, Not Graduate, No,6200000,19500000,20,448,3300000,7100000,22400000,8000000, Rejected
1077,1078,1, Graduate, No,5900000,13000000,2,386,16300000,5000000,12000000,3800000, Rejected
1078,1079,5, Not Graduate, Yes,9800000,37900000,18,301,6700000,4900000,34300000,6200000, Rejected
1080,1081,4, Graduate, Yes,300000,500000,14,448,700000,100000,800000,100000, Rejected
1083,1084,2, Not Graduate, No,8600000,21700000,4,429,5500000,10800000,30900000,6000000, Rejected
1089,1090,3, Graduate, No,5100000,11000000,6,336,-100000,5800000,11600000,7500000, Rejected
1093,1094,2, Graduate, Yes,3800000,14400000,2,301,2300000,1400000,7600000,2400000, Rejected
1094,1095,2, Not Graduate, Yes,5300000,21200000,14,516,2200000,5000000,20900000,7700000, Rejected
1095,1096,5, Not Graduate, No,1100000,3600000,12,315,1300000,700000,3100000,1400000, Rejected
1096,1097,3, Not Graduate, No,6400000,14400000,10,546,10600000,10000000,21200000,5100000, Rejected
1102,1103,1, Graduate, Yes,1600000,4900000,16,487,4300000,1100000,3900000,2000000, Rejected
1108,1109,4, Graduate, No,8100000,19000000,6,375,4100000,14500000,19100000,11900000, Rejected
1113,1114,4, Graduate, No,4600000,9400000,18,545,800000,2400000,11500000,6300000, Rejected
1114,1115,1, Not Graduate, No,2900000,8900000,6,523,900000,5600000,9700000,1800000, Rejected
1116,1117,4, Not Graduate, No,3800000,14900000,20,428,6500000,3500000,12200000,2500000, Rejected
1120,1121,1, Graduate, Yes,9800000,23300000,12,430,3200000,12600000,30500000,13900000, Rejected
1122,1123,0, Not Graduate, No,6600000,14100000,20,360,6800000,5100000,25400000,7800000, Rejected
1123,1124,0, Not Graduate, No,9100000,18300000,14,458,6100000,9200000,34100000,10000000, Rejected
1126,1127,1, Not Graduate, No,2400000,5600000,16,379,3700000,600000,7200000,3400000, Rejected
1127,1128,4, Graduate, No,9600000,25500000,20,544,4000000,11400000,23800000,11100000, Rejected
1134,1135,2, Not Graduate, No,1600000,5200000,16,525,300000,2900000,5600000,1600000, Rejected
1135,1136,5, Graduate, Yes,800000,2500000,12,403,500000,0,3200000,800000, Rejected
1137,1138,1, Graduate, No,8300000,28900000,12,529,18300000,3900000,32500000,5800000, Rejected
1138,1139,4, Graduate, No,2800000,6100000,18,415,2200000,4200000,8400000,2000000, Rejected
1141,1142,0, Graduate, No,2900000,9800000,16,395,5400000,4300000,8600000,2400000, Rejected
1142,1143,0, Graduate, No,6500000,24100000,20,488,3300000,6000000,22900000,9700000, Rejected
1147,1148,5, Not Graduate, Yes,900000,1800000,14,464,2300000,300000,1800000,700000, Rejected
1149,1150,4, Not Graduate, Yes,3700000,7400000,12,363,4800000,6800000,10500000,4400000, Rejected
1151,1152,1, Graduate, No,7200000,21000000,14,421,3500000,11600000,21800000,4600000, Rejected
1152,1153,0, Not Graduate, Yes,9400000,34200000,10,512,13100000,15600000,32600000,6300000, Rejected
1155,1156,0, Not Graduate, Yes,3300000,10000000,16,434,3000000,4100000,12900000,4100000, Rejected
1156,1157,2, Graduate, Yes,5900000,14300000,2,410,11900000,4400000,16900000,4100000, Rejected
1160,1161,4, Not Graduate, Yes,7000000,23500000,18,336,15000000,9500000,19700000,7800000, Rejected
1161,1162,5, Graduate, No,8100000,21900000,18,378,5200000,3400000,16200000,9600000, Rejected
1166,1167,1, Not Graduate, Yes,7800000,27200000,16,454,16100000,3400000,17100000,11400000, Rejected
1168,1169,2, Graduate, No,8900000,28500000,6,367,22200000,16600000,21500000,9300000, Rejected
1169,1170,1, Graduate, No,1400000,3100000,20,384,200000,1200000,4200000,1800000, Rejected
1174,1175,4, Graduate, Yes,9800000,27000000,2,395,18700000,3000000,23000000,9700000, Rejected
1175,1176,3, Graduate, Yes,7700000,16200000,6,380,11500000,15100000,22500000,6400000, Rejected
1179,1180,5, Graduate, No,9900000,35700000,10,392,7900000,4300000,39200000,13000000, Rejected
1180,1181,0, Graduate, No,3900000,14500000,8,545,5900000,3000000,10300000,3400000, Rejected
1183,1184,4, Graduate, No,7100000,19800000,18,530,7100000,3400000,20900000,7100000, Rejected
1186,1187,2, Not Graduate, No,4400000,12000000,20,421,9300000,2700000,15700000,3400000, Rejected
1187,1188,3, Graduate, Yes,8600000,30300000,14,459,12000000,4100000,23800000,9100000, Rejected
1190,1191,2, Graduate, Yes,8100000,25700000,8,455,22300000,11500000,19800000,9500000, Rejected
1193,1194,2, Not Graduate, Yes,2100000,5600000,16,426,400000,300000,7100000,1200000, Rejected
1194,1195,4, Not Graduate, Yes,9000000,21500000,14,508,16600000,17300000,24300000,13100000, Rejected
1198,1199,1, Graduate, Yes,8300000,16800000,2,366,22000000,6600000,27300000,4500000, Rejected
1199,1200,2, Not Graduate, No,300000,600000,2,383,600000,300000,1100000,400000, Rejected
1202,1203,0, Not Graduate, No,6600000,20300000,6,549,10800000,900000,23100000,9800000, Rejected
1204,1205,5, Graduate, Yes,1800000,5300000,12,461,2800000,2000000,4700000,2000000, Rejected
1205,1206,3, Not Graduate, Yes,7000000,16100000,16,379,2000000,5200000,23000000,10000000, Rejected
1211,1212,0, Not Graduate, Yes,9600000,22900000,8,515,4300000,14700000,33300000,7800000, Rejected
1215,1216,5, Graduate, Yes,9600000,38000000,10,359,2100000,13600000,38200000,9400000, Rejected
1217,1218,4, Graduate, No,5900000,19900000,14,469,14200000,6800000,22100000,3200000, Rejected
1222,1223,4, Not Graduate, Yes,500000,1500000,6,461,1300000,500000,1700000,200000, Rejected
1224,1225,0, Graduate, Yes,9800000,23900000,14,459,1000000,13400000,21100000,7200000, Rejected
1226,1227,4, Not Graduate, No,6500000,24000000,16,373,5600000,5100000,15600000,6700000, Rejected
1227,1228,5, Graduate, Yes,7500000,26500000,12,512,16500000,2900000,23700000,6000000, Rejected
1229,1230,4, Graduate, Yes,1800000,5800000,14,305,600000,3300000,3600000,2000000, Rejected
1230,1231,1, Not Graduate, Yes,7600000,27800000,6,447,1300000,700000,20100000,10900000, Rejected
1233,1234,1, Not Graduate, Yes,4600000,10900000,12,463,1200000,1200000,10900000,6600000, Rejected
1242,1243,4, Graduate, No,3500000,11600000,10,335,6300000,5200000,10300000,2300000, Rejected
1243,1244,5, Not Graduate, No,400000,800000,18,304,900000,500000,1400000,400000, Rejected
1249,1250,5, Not Graduate, Yes,3600000,12400000,8,333,8800000,1000000,10700000,4000000, Rejected
1258,1259,1, Not Graduate, Yes,4400000,16600000,18,385,800000,5300000,13400000,5100000, Rejected
1261,1262,3, Graduate, No,3900000,14100000,16,496,2500000,2200000,13700000,2900000, Rejected
1263,1264,3, Not Graduate, Yes,6300000,17700000,2,542,16800000,900000,16400000,5300000, Rejected
1268,1269,3, Graduate, Yes,2200000,5300000,2,506,1600000,1700000,5800000,2800000, Rejected
1269,1270,3, Graduate, Yes,3500000,13000000,6,391,6100000,3500000,13300000,4300000, Rejected
